Height	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	label
1146.94	169.018	156.351	180	179.966	147.333	147.186	2
1063.55	168.014	149.731	179.98	179.96	139.046	136.672	2
1298.77	162.97	168.144	180	180	147.537	146.802	2
1334.71	161.682	168.219	180	179.972	149.202	147.863	2
1018.15	134.44	145.124	179.972	180	147.816	147.671	2
975.467	128.513	127.287	180	180	141.718	138.254	2
1024.87	156.86	147.175	180	179.972	140.411	137.594	2
1059.32	164.03	151.185	179.972	179.956	141.247	141.128	2
1076.21	168.412	153.968	180	180	140.684	139.713	2
1111.42	153.829	145.636	180	180	144.011	141.593	2
1112.06	157.715	146.134	179.98	179.98	143.576	141.272	2
1121.67	160.336	148.546	180	180	143.379	141.052	2
1149.96	159.84	148.056	180	180	141.292	138.058	2
1138.49	155.078	155.037	180	180	141.445	138.009	2
1181.44	153.321	146.999	180	180	140.889	137.142	2
1284.35	163.103	147.209	180	180	141.978	142.065	2
1289.88	157.23	158.124	180	180	142.823	139.529	2
1301.48	157.235	167.83	180	180	147.298	146.065	2
1235.89	136.269	156.854	180	180	148.608	142.674	2
1283.67	127.954	145.907	179.972	179.972	148.562	141.337	2
1272.66	101.381	115.099	180	180	147.676	134.383	2
1108.18	123.495	163.921	180	180	172.639	174.755	2
1240.94	92.584	117.269	180	180	154.274	140.267	2
1258.49	104.546	133.373	180	179.98	153.885	141.903	2
1244.58	116.091	134.017	179.98	179.98	152.567	141.176	2
1204.94	93.9722	115.133	180	180	152.074	136.683	2
1156.26	72.4606	95.9787	179.98	179.98	158.973	145.259	2
1134.09	60.7423	111.398	179.972	180	165.39	157.904	2
1205.61	130.711	154.028	180	179.98	148.143	139.367	2
1214.74	141.741	154.209	179.98	180	146.37	138.4	2
1249.98	147.716	165.28	180	180	145.26	139.827	2
1262.22	148.058	168.311	180	180	144.212	138.567	2
1262.69	132.297	157.467	179.98	179.98	144.096	136.168	2
1260.9	124.046	153.425	180	180	144.728	138.574	2
1258.14	132.189	149.871	179.972	180	144.491	136.346	2
1264.85	132.058	151.512	180	180	143.7	136.388	2
1258.65	132.032	147.954	179.972	180	144.066	135.149	2
1261.5	127.139	146.341	179.972	180	145.186	135.847	2
1267.72	125.664	143.6	180	180	147.532	139.336	2
1250.62	111.282	129.716	180	180	148.392	136.481	2
1273.72	124.864	146.374	179.972	180	149.564	140.59	2
1250	115.816	130.119	180	180	148.578	137.649	2
1244.2	108.028	134.374	180	180	152.214	143.276	2
1230.93	101.913	124.363	179.972	179.972	151.961	139.881	2
1224.91	105.968	121.81	179.972	180	148.823	137.01	2
1114.81	100.872	155.64	180	180	147.883	143.538	2
1080.51	115.743	141.803	179.972	180	146.892	143.055	2
1200.45	48.1853	110.005	179.972	179.972	161.029	156.219	2
910.181	79.8548	83.856	180	180	108.577	106.846	2
918.031	72.1817	77.9077	180	180	134.093	155.024	2
1085.43	99.0485	96.6008	179.972	179.972	122.304	101.921	2
1194.36	90.9577	95.7788	180	180	137.844	120.25	2
1167.89	82.8894	97.315	179.96	180	144.399	131.763	2
1105.29	32.1015	36.9448	180	180	160.214	158.548	2
1028	95.1162	113.864	180	180	138.915	126.872	2
516.363	72.3503	72.3503	179.972	179.972	115.235	87.5852	2
513.041	66.9839	66.9839	180	180	144.76	88.384	2
1050.13	130.011	141.858	179.972	179.972	127.942	122.884	2
920.791	96.9281	98.7375	179.96	179.972	104.483	91.2626	2
496.284	70.964	70.964	179.98	179.98	108.564	96.9824	2
499.65	64.8983	64.8983	180	180	121.714	115.464	2
491.298	63.0693	63.0693	179.98	179.98	146.503	99.4795	2
488.896	69.9504	69.9504	179.98	179.98	136.247	75.0462	2
1013.49	98.8187	109.655	180	180	120.209	99.6842	2
1028.71	118.48	139.947	180	180	136.529	125.65	2
921.955	111.632	119.527	179.98	179.98	135.613	119.754	2
971.135	124.412	138.359	179.98	179.98	140.388	130.817	2
969.737	109.557	126.368	180	180	141.592	129.402	2
979.209	109.967	126.915	179.972	179.972	141.078	128.788	2
992.199	135.487	142.818	180	180	118.236	104.693	2
1004.64	109.847	127.441	180	179.972	124.436	115.31	2
601.146	75.3656	75.3656	180	180	95.203	72.9615	2
427.16	73.0562	73.0562	180	180	109.427	79.9229	2
430.961	67.3354	67.3354	180	180	141.269	105.256	2
1066.78	137.345	149.705	180	180	142.208	131.525	2
1235.22	171.125	169.841	180	180	158.712	160.207	2
1266.82	167.406	168.119	179.98	179.98	156.325	159.17	2
995.381	85.4234	94.7103	179.98	179.98	135.564	118.903	2
1048.59	73.8711	83.256	179.972	180	151.214	139.722	2
1106.49	76.3229	110.176	180	180	158.109	143.551	2
1162.45	114.86	139.078	180	180	158.395	153.005	2
1164.92	146.597	161.924	180	180	165.897	169.154	2
1128.94	132.93	149.61	180	180	164.296	170.742	2
1156.02	119.57	153.764	180	180	145.572	140.477	2
657.03	76.7425	76.7425	179.972	179.972	120.667	54.3232	2
1136.6	122.339	128.572	179.972	179.956	140.261	143.737	2
1113.29	104.011	116.855	180	180	138.606	146.3	2
1111.29	113.111	121.185	179.972	179.972	136.891	140.845	2
1076.37	76.697	104.384	179.972	180	127.864	135.78	2
1062.89	148.042	158.411	180	179.972	116.661	114.223	2
1050.86	167.294	168.333	180	180	171.144	171.015	2
1069.07	170.506	169.371	180	180	144.74	142.918	2
1139.59	158.076	151.242	180	180	136.417	131.673	2
1069.53	67.5118	66.3301	180	180	117.574	102.924	2
884.376	84.8193	82.3755	180	179.98	133.683	119.644	2
831.855	99.2516	111.066	180	180	109.399	86.51	2
828.91	98.6873	110.892	179.966	179.966	107.117	88.1512	2
892.736	116.484	112.566	180	180	100.104	117.561	2
1082.02	150.584	158.512	180	180	147.73	143.239	2
1197.1	151.502	162.225	180	180	162.185	159.837	2
1237.91	147.68	161.065	179.98	180	163.872	163.731	2
1183.8	121.245	135.28	180	180	168.385	164.911	2
1181.33	122.596	136.255	180	180	168.233	164.06	2
1221.35	163.966	171.85	179.98	179.98	163.989	167.293	2
1213.79	161.97	173.409	180	180	165.53	165.587	2
1199.66	162.222	170.017	180	180	160.588	161.662	2
1299.62	153.856	164.94	180	179.972	147.901	148.278	2
1053.86	98.713	95.98	180	180	103.042	13.1035	2
1039.14	98.713	95.98	180	180	104.143	11.437	2
1016.27	98.713	95.98	179.98	179.98	103.823	11.9849	2
854.31	69.1017	69.1017	180	180	123.707	147.19	2
837.319	69.0119	69.0119	180	180	118.853	147.33	2
775.191	67.0033	67.0033	179.98	179.98	159.988	85.1346	2
774.436	66.8378	66.8378	179.98	179.98	160.817	87.5453	2
799.145	66.9034	66.9034	180	180	161.137	87.5954	2
812.047	67.0088	67.0088	180	180	160.824	86.6536	2
817.048	67.1454	67.1454	180	180	160.029	85.0998	2
814.709	67.2538	67.2538	179.98	179.98	159.267	83.6878	2
793.034	67.9977	67.9977	180	180	153.925	80.263	2
807.595	69.6255	69.6255	180	180	152.972	85.1282	2
865.264	69.275	69.275	180	180	162.99	77.18	2
870.271	64.0222	64.0222	180	180	170.384	90.0769	2
869.796	64.424	64.424	179.98	179.98	170.646	89.2885	2
857.98	70.5266	70.5266	180	180	113.686	119.973	2
894.619	98.5103	95.8777	180	180	101.855	13.5228	2
918.637	155.405	124.779	179.972	179.972	109.147	66.5357	2
815.847	109.312	104.623	180	180	108.917	52.9567	2
800.021	108.382	103.576	179.972	180	108.315	53.4889	2
1409.31	110.892	107.812	179.972	179.972	162.706	166.037	2
1413.88	121.177	114.856	180	179.96	162.036	164.645	2
1413.59	122.345	118.181	180	180	162.378	165.313	2
1409.4	120.688	118.622	180	179.96	162.756	166.065	2
1407.53	118.54	116.364	180	180	163.06	166.351	2
1400.7	116.675	111.19	179.96	180	164.026	167.792	2
1404.64	118.914	112.196	180	180	164.301	168.053	2
1407.05	120.531	114.39	179.972	180	164.49	168.096	2
1407.72	124.95	114.777	180	180	167.01	170.783	2
1393.28	127.291	118.997	179.952	180	164.731	169.316	2
1382.15	127.402	118.793	179.972	179.972	162.863	167.336	2
1379.05	128.537	117.748	180	179.972	161.943	166.201	2
1368.65	127.209	114.477	179.972	179.96	161.455	166.205	2
1351.47	118.921	104.502	180	179.972	161.321	167.333	2
1333.85	112.912	96.0168	179.96	179.96	162.619	167.675	2
1314.45	116.245	111.027	180	179.96	158.485	164.957	2
1320.09	103.623	119.237	179.972	180	157.656	166.612	2
1308.07	96.1319	118.894	180	180	157.445	166.179	2
1261.77	76.0099	93.1042	154.71	179.972	160.434	121.209	2
1261.17	154.408	87.4609	144.341	179.96	167.355	115.105	2
1284.47	141.481	102.869	139.478	179.96	172.37	123.429	2
1258.48	123.911	99.5869	135.658	180	172.931	129.405	2
1220.35	115.592	93.3293	134.995	179.972	171.279	131.751	2
1277.52	127.517	76.5442	135.191	179.972	170.861	127.372	2
1210.42	143.726	68.5465	152.739	179.972	171.928	118.365	2
1293.28	155.971	128.178	151.394	180	171.686	129.019	2
1351.12	125.416	147.458	150.002	180	170.283	134.562	2
1416.38	108.144	164.062	153.818	179.972	168.869	137.877	2
1391.52	98.1487	155.123	153.826	180	168.058	140.867	2
1328.91	119.56	150.922	179.972	180	167.929	170.349	2
1262.99	76.5799	92.3265	180	180	167.006	164.902	2
1317.6	129.136	111.636	179.972	180	164.855	154.757	2
1298.54	120.925	118.289	179.972	180	160.5	152.46	2
1295.02	113.598	127.253	180	180	163.624	156.313	2
1282.83	121.391	114.073	179.972	179.972	160.366	154.238	2
1276.72	84.5871	109.072	180	180	159.805	152.066	2
1270.52	70.5222	104.787	180	180	159.957	153.406	2
1308.32	143.622	110.049	180	180	160.086	156.097	2
1302.24	130.756	115.658	180	180	159.469	150.787	2
1305.18	135.684	149.424	180	180	157.385	153.606	2
1294.73	125.067	135.643	180	180	156.167	149.9	2
1292.4	110.161	134.587	179.98	179.98	156.147	153.731	2
1289.32	109.776	134.739	179.98	179.98	156.623	154.331	2
1284.87	119.474	146.622	180	180	159.487	155.453	2
1271.99	126.592	152.623	179.98	180	163.315	159.773	2
1270.88	128.922	156.293	179.98	179.98	163.501	160.122	2
1269.58	120.974	158.057	179.98	179.98	163.704	161.619	2
1260.6	140.968	103.472	180	180	163.962	153.944	2
1256.94	98.6814	145.881	179.98	179.98	163.887	160.966	2
1253.09	123.37	145.036	180	180	164.132	157.949	2
1253.55	170.993	136.8	180	179.98	164.769	160.972	2
1234.7	129.798	131.484	180	180	166.321	160.701	2
1211.81	120.17	117.583	180	180	166.532	159.283	2
1228.22	112.741	144.022	180	180	166.639	160.675	2
1214.52	142.365	128.137	180	180	166.653	161.626	2
1184.04	101.663	133.107	179.98	179.98	163.98	162.727	2
1208.86	159.491	130.986	179.98	180	162.808	161.688	2
1185.54	114.956	129.161	179.98	180	161.963	164.768	2
